編號,時間數據time(ms),結果result,不包含本次，最新5筆數據排序,完整數據list
1,100,此次時間數據100未大於總數據5筆，故pass,[100],['[100]']
2,101,此次時間數據101未大於總數據5筆，故pass,"[100, 101]","['[100, 101]']"
3,103,此次時間數據103未大於總數據5筆，故pass,"[100, 101, 103]","['[100, 101, 103]']"
4,105,此次時間數據105未大於總數據5筆，故pass,"[100, 101, 103, 105]","['[100, 101, 103, 105]']"
5,107,此次時間數據107未大於總數據5筆，故pass,"[100, 101, 103, 105, 107]","['[100, 101, 103, 105, 107]']"
6,109,此次時間數據109與最新5筆數據相比，落後前3名，故Fail,"[100, 101, 103, 105, 107]","['[100, 101, 103, 105, 107, 109]']"
7,1,此次時間數據1與最新5筆數據相比，排名於前3名，故pass,"[101, 103, 105, 107, 109]","['[100, 101, 103, 105, 107, 109, 1]']"
8,106,此次時間數據106與最新5筆數據相比，落後前3名，故Fail,"[1, 103, 105, 107, 109]","['[100, 101, 103, 105, 107, 109, 1, 106]']"
9,102,此次時間數據102與最新5筆數據相比，排名於前3名，故pass,"[1, 105, 106, 107, 109]","['[100, 101, 103, 105, 107, 109, 1, 106, 102]']"
10,101,此次時間數據101與最新5筆數據相比，排名於前3名，故pass,"[1, 102, 106, 107, 109]","['[100, 101, 103, 105, 107, 109, 1, 106, 102, 101]']"
11,1000,此次時間數據1000與最新5筆數據相比，落後前3名，故Fail,"[1, 101, 102, 106, 109]","['[100, 101, 103, 105, 107, 109, 1, 106, 102, 101, 1000]']"
